Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
virtuagora,nice-budget,0.0,https://github.com/virtuagora/nice-budget,2019-10-03,28.0,0.0,"['JavaScript', 'CSS', 'Vue', 'PHP', 'HTML']","{'JavaScript': 0.956663328434408, 'CSS': 0.020268217182110814, 'Vue': 0.009437303004727764, 'PHP': 0.009371697505814187, 'HTML': 0.004259453872939209}"
dunicadavid,CollaborativeCalculationsInDistributedSystems,0.0,https://github.com/dunicadavid/CollaborativeCalculationsInDistributedSystems,2022-02-27,1.0,0.0,"['C', 'Makefile']","{'C': 0.9973955051459777, 'Makefile': 0.002604494854022264}"
Shubhu0,Amazon-Recommendation-System,0.0,https://github.com/Shubhu0/Amazon-Recommendation-System,2022-06-07,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
akanksh07,Netflix-Prize-Movie-Recommendation-System,0.0,https://github.com/akanksh07/Netflix-Prize-Movie-Recommendation-System,2021-10-14,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
ritumehrotra,Collaborative-Filtering-using-Matrix-Factorization-Neural-Network,0.0,https://github.com/ritumehrotra/Collaborative-Filtering-using-Matrix-Factorization-Neural-Network,2018-10-07,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
deadskull7,Movie-Recommendations-using-Collaborative-Filtering,4.0,https://github.com/deadskull7/Movie-Recommendations-using-Collaborative-Filtering,2018-06-20,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
shriya538,Recommendation_System,0.0,https://github.com/shriya538/Recommendation_System,2020-08-28,1.0,0.0,['Python'],{'Python': 1.0}
jaddamo,BirdFinder-App,0.0,https://github.com/jaddamo/BirdFinder-App,2020-03-23,1.0,1.0,"['HTML', 'JavaScript', 'CSS']","{'HTML': 0.6459849186400317, 'JavaScript': 0.25439872999073954, 'CSS': 0.09961635136922874}"
KexingIA,AdamEva2.0,1.0,https://github.com/KexingIA/AdamEva2.0,2021-12-17,1.0,0.0,[],{}
mirugwe1,Recommendation-Systems,1.0,https://github.com/mirugwe1/Recommendation-Systems,2020-12-21,1.0,0.0,[],{}
erozonachi,wunderlist-be,1.0,https://github.com/erozonachi/wunderlist-be,2019-07-26,2.0,0.0,[],{}
ZoiBox,ZoiBox,0.0,https://github.com/ZoiBox/ZoiBox,2021-04-16,1.0,4.0,[],{}
vineet22h,KKBox-Music-Recommendation-System,0.0,https://github.com/vineet22h/KKBox-Music-Recommendation-System,2021-01-01,1.0,1.0,"['Jupyter Notebook', 'HTML', 'CSS', 'Python', 'JavaScript', 'Dockerfile']","{'Jupyter Notebook': 0.988353649735997, 'HTML': 0.00606372454686504, 'CSS': 0.0019277780450549053, 'Python': 0.0018886887651395788, 'JavaScript': 0.0016725701502231095, 'Dockerfile': 9.358875672034928e-05}"
Nareshvrao,COLLABORATIVE-FILTERING-USING-THE-NETFLIX-DATA,1.0,https://github.com/Nareshvrao/COLLABORATIVE-FILTERING-USING-THE-NETFLIX-DATA,2021-12-21,1.0,0.0,"['Jupyter Notebook', 'Python']","{'Jupyter Notebook': 0.8329611949491839, 'Python': 0.16703880505081614}"
kirtesh1405,Project_3---Movielence_case_study,0.0,https://github.com/kirtesh1405/Project_3---Movielence_case_study,2022-09-25,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
Vinaypanwar9,Movielens-Case-Study,0.0,https://github.com/Vinaypanwar9/Movielens-Case-Study,2022-09-24,1.0,0.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
Sfedfcv,redesigned-pancake,54.0,https://github.com/Sfedfcv/redesigned-pancake,2021-05-16,0.0,0.0,[],{}
