Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
Genymobile,scrcpy,93262,https://github.com/Genymobile/scrcpy,2017-11-21,30,9426,"['C', 'Java', 'Roff', 'Meson', 'Shell', 'Makefile', 'AIDL', 'VBScript', 'Batchfile']","{'C': 0.6795979305140336, 'Java': 0.2787075871477085, 'Roff': 0.015576473746843527, 'Meson': 0.010684846022117087, 'Shell': 0.007915674977505588, 'Makefile': 0.005112036687661452, 'AIDL': 0.0021623661219632544, 'VBScript': 0.00019229094708733636, 'Batchfile': 5.079383507967376e-05}"
microsoft,terminal,91240,https://github.com/microsoft/terminal,2017-08-11,30,8111,"['C++', 'C#', 'C', 'PowerShell', 'Batchfile', 'HLSL', 'Python', 'Roff', 'JavaScript', 'HTML']","{'C++': 0.9332367812358279, 'C#': 0.03492617060731683, 'C': 0.018469515200053077, 'PowerShell': 0.006140423223861999, 'Batchfile': 0.005015140292010111, 'HLSL': 0.0010474562034487875, 'Python': 0.0005596481302181324, 'Roff': 0.0005030212617691798, 'JavaScript': 6.296569700667134e-05, 'HTML': 3.887814848734069e-05}"
ant-design,ant-design,88128,https://github.com/ant-design/ant-design,2015-04-24,13,42615,"['TypeScript', 'JavaScript', 'CSS', 'Shell', 'HTML']","{'TypeScript': 0.9935269473306393, 'JavaScript': 0.0052456892728439146, 'CSS': 0.0007390434141592917, 'Shell': 0.00028204041991767946, 'HTML': 0.00020627956243979216}"
puppeteer,puppeteer,84938,https://github.com/puppeteer/puppeteer,2017-05-09,24,9141,"['TypeScript', 'JavaScript', 'HTML', 'MDX', 'CSS', 'Dockerfile', 'Shell']","{'TypeScript': 0.9239886169490918, 'JavaScript': 0.056587700052093515, 'HTML': 0.011804740041427763, 'MDX': 0.0038582425956286597, 'CSS': 0.002803167865073108, 'Dockerfile': 0.0007360392145337076, 'Shell': 0.00022149328215134722}"
iluwatar,java-design-patterns,84434,https://github.com/iluwatar/java-design-patterns,2014-08-09,6,25737,"['Java', 'HTML', 'CSS']","{'Java': 0.9932489430214217, 'HTML': 0.00424202415807058, 'CSS': 0.002509032820507652}"
PanJiaChen,vue-element-admin,84425,https://github.com/PanJiaChen/vue-element-admin,2017-04-17,16,30271,"['Vue', 'JavaScript', 'SCSS', 'CSS', 'Handlebars', 'HTML']","{'Vue': 0.6948834993847497, 'JavaScript': 0.26018933830826024, 'SCSS': 0.040755368554757275, 'CSS': 0.0016373595840114318, 'Handlebars': 0.0015659111658000238, 'HTML': 0.0009685230024213075}"
nvbn,thefuck,79931,https://github.com/nvbn/thefuck,2015-04-08,2,3488,"['Python', 'Dockerfile', 'PowerShell', 'Shell', 'Batchfile']","{'Python': 0.9969938594079369, 'Dockerfile': 0.0013820914673265512, 'PowerShell': 0.001140133809916598, 'Shell': 0.0002456236825222253, 'Batchfile': 0.00023829163229768124}"
microsoft,Web-Dev-For-Beginners,77887,https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10,3,12010,"['JavaScript', 'HTML', 'CSS', 'Vue']","{'JavaScript': 0.7769458638111033, 'HTML': 0.10835865824313831, 'CSS': 0.07555291388252437, 'Vue': 0.039142564063233985}"
godotengine,godot,77086,https://github.com/godotengine/godot,2014-01-04,12,15604,"['C++', 'C#', 'C', 'GLSL', 'Java', 'Python', 'Objective-C++', 'JavaScript', 'GDScript', 'Kotlin', 'Shell', 'Objective-C', 'PowerShell', 'AppleScript', 'AIDL', 'CMake', 'GAP']","{'C++': 0.8747492066585442, 'C#': 0.03617969305481268, 'C': 0.028199688458452575, 'GLSL': 0.01839714440474849, 'Java': 0.011467511975898154, 'Python': 0.009808926250728479, 'Objective-C++': 0.008883978982894985, 'JavaScript': 0.0042202621480554635, 'GDScript': 0.0037985069311543373, 'Kotlin': 0.0028476577621664658, 'Shell': 0.0008249726061375566, 'Objective-C': 0.000480353604349697, 'PowerShell': 5.3276617006693435e-05, 'AppleScript': 4.3006189179748846e-05, 'AIDL': 3.206808535640633e-05, 'CMake': 1.2528743697114047e-05, 'GAP': 1.2175268169609261e-06}"
gothinkster,realworld,76700,https://github.com/gothinkster/realworld,2016-02-26,19,7084,"['TypeScript', 'MDX', 'CSS', 'HTML', 'JavaScript', 'Shell', 'Procfile']","{'TypeScript': 0.8674747969470634, 'MDX': 0.061494938982082366, 'CSS': 0.055102342761519936, 'HTML': 0.010379678380474266, 'JavaScript': 0.003910554671237908, 'Shell': 0.0013800457124199012, 'Procfile': 0.00025764254520223664}"
