Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
bilibili,ijkplayer,31740,https://github.com/bilibili/ijkplayer,2013-06-03,6,8083,"['C', 'Objective-C', 'Java', 'Shell', 'Makefile', 'C++', 'Ruby']","{'C': 0.5741276557026523, 'Objective-C': 0.18141618174373736, 'Java': 0.17017630929190913, 'Shell': 0.05794508480464534, 'Makefile': 0.008637211476026816, 'C++': 0.007623112522798616, 'Ruby': 7.444445823045523e-05}"
SheetJS,sheetjs,33762,https://github.com/SheetJS/sheetjs,2012-12-03,3,8067,"['JavaScript', 'TypeScript', 'Makefile', 'CSS', 'Shell', 'Batchfile']","{'JavaScript': 0.8700559233027494, 'TypeScript': 0.12320032163179837, 'Makefile': 0.0033801645711114318, 'CSS': 0.0018974950177141365, 'Shell': 0.0012480279808299492, 'Batchfile': 0.00021806749579669576}"
prakhar1989,awesome-courses,49948,https://github.com/prakhar1989/awesome-courses,2014-11-15,2,8066,[],{}
A-d-i-t-h-y-a-n,hermit-md,473,https://github.com/A-d-i-t-h-y-a-n/hermit-md,2022-08-03,1,8053,"['JavaScript', 'Dockerfile']","{'JavaScript': 0.9973178718932525, 'Dockerfile': 0.0026821281067474765}"
learn-co-curriculum,phase-0-html-document-structure-lab,4,https://github.com/learn-co-curriculum/phase-0-html-document-structure-lab,2021-01-10,2,8329,"['JavaScript', 'CSS', 'HTML']","{'JavaScript': 0.9833524684270953, 'CSS': 0.010045924225028703, 'HTML': 0.006601607347876005}"
learn-co-students,python-variables-lab-data-science-intro-000,3,https://github.com/learn-co-students/python-variables-lab-data-science-intro-000,2018-04-10,2,8018,"['Jupyter Notebook', 'Python']","{'Jupyter Notebook': 0.9466239658393382, 'Python': 0.05337603416066186}"
shadowsocks,ShadowsocksX-NG,31823,https://github.com/shadowsocks/ShadowsocksX-NG,2016-06-10,3,8019,"['Swift', 'Objective-C', 'Shell', 'Python', 'Rich Text Format', 'Makefile', 'Ruby', 'C']","{'Swift': 0.6612400254137013, 'Objective-C': 0.24442618077535105, 'Shell': 0.037794137362221016, 'Python': 0.03422689305844569, 'Rich Text Format': 0.008265281736525201, 'Makefile': 0.006487488415199258, 'Ruby': 0.004010235426466388, 'C': 0.0035497578120901605}"
sudheerj,reactjs-interview-questions,32726,https://github.com/sudheerj/reactjs-interview-questions,2018-05-31,1,8012,"['JavaScript', 'HTML', 'CSS']","{'JavaScript': 0.7161062325979867, 'HTML': 0.18430070678946242, 'CSS': 0.09959306061255087}"
kubernetes,ingress-nginx,15867,https://github.com/kubernetes/ingress-nginx,2016-11-04,8,8010,"['Go', 'Lua', 'Shell', 'Makefile', 'Dockerfile', 'Python', 'Mustache', 'Smarty', 'JavaScript', 'CMake', 'HTML']","{'Go': 0.8623752320379782, 'Lua': 0.07791987462341378, 'Shell': 0.03213345607254801, 'Makefile': 0.010871549861537993, 'Dockerfile': 0.006764477648276072, 'Python': 0.003158759623870241, 'Mustache': 0.0030613797510727, 'Smarty': 0.001295608776361036, 'JavaScript': 0.001200511244332187, 'CMake': 0.0011871975898481483, 'HTML': 3.195277076169319e-05}"
udacity,pdsnd_github,44,https://github.com/udacity/pdsnd_github,2018-08-14,1,8055,[],{}
